,State,Emissions
0,Alabama,19.56389748757601
1,Alaska,49.13596544999151
2,Arizona,11.1642111365758
3,Arkansas,18.17488249467314
4,California,7.681182636952757
5,Colorado,13.81285745349462
6,Connecticut,9.380092379120047
7,Delaware,12.57187641205913
8,District of Columbia,3.479656482878299
9,Florida,9.626162517231034
10,Georgia,10.87002039970334
11,Hawaii,10.2781048663188
12,Idaho,10.47571313956926
13,Illinois,13.28617173197558
14,Indiana,22.74506853409224
15,Iowa,20.5866585494016
16,Kansas,19.67886733394123
17,Kentucky,22.62113220253682
18,Louisiana,39.41054746366006
19,Maine,9.913555506849608
20,Maryland,7.790513454227522
21,Massachusetts,7.44525852907971
22,Michigan,13.58535547444549
23,Minnesota,13.73439278342928
24,Mississippi,21.35238409474412
25,Missouri,17.66369804354322
26,Montana,24.14881691960823
27,Nebraska,23.71712015834978
28,Nevada,11.62659957309883
29,New Hampshire,9.03280525677522
30,New Jersey,9.032736446610206
31,New Mexico,21.34728943011405
32,New York,7.113702449305429
33,North Carolina,10.18779489169712
34,North Dakota,69.64220833436971
35,Ohio,15.74352921570338
36,Oklahoma,21.13312345958168
37,Oregon,8.835862694836672
38,Pennsylvania,14.87600871056138
39,Rhode Island,8.96566957638711
40,South Carolina,12.37564856474404
41,South Dakota,16.84612090694872
42,Tennessee,12.03803351298216
43,Texas,21.35542280145746
44,Utah,17.48263523136887
45,Vermont,8.442556390404997
46,Virginia,11.37234097880205
47,Washington,8.857656561973947
48,West Virginia,42.97456869903012
49,Wisconsin,14.77212897356857
50,Wyoming,96.39719840775867
